graph_hash,profile,cycle_i,cycle_j,distance,shared_vertices,shared_edges
0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,"(4,0,0,0)",0,3,6,0,0
0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,"(4,0,0,0)",1,2,6,0,0
0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,"(4,0,0,0)",1,3,7,0,0
0fd9f8ea847055c98213c7fd7df89c015c3bfb821e52785394713def46012932,"(4,0,0,0)",2,3,10,0,0
f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,"(4,0,0,0)",0,1,3,0,0
f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,"(4,0,0,0)",0,2,4,0,0
f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,"(4,0,0,0)",0,3,7,0,0
f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,"(4,0,0,0)",1,2,6,0,0
f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,"(4,0,0,0)",1,3,7,0,0
f76e794b6f444c3d22ba2093c46de7489a17f64f3716da949c93ff56c2de105f,"(4,0,0,0)",2,3,10,0,0
b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,"(4,0,0,0)",0,1,3,0,0
b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,"(4,0,0,0)",0,2,7,0,0
b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,"(4,0,0,0)",0,3,4,0,0
b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,"(4,0,0,0)",1,2,7,0,0
b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,"(4,0,0,0)",1,3,6,0,0
b47179c4bc195e3d458fc05f3007997b29c46a1213170239955128f4bae8e266,"(4,0,0,0)",2,3,7,0,0
e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,"(4,0,0,0)",0,1,4,0,0
e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,"(4,0,0,0)",0,2,7,0,0
e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,"(4,0,0,0)",0,3,4,0,0
e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,"(4,0,0,0)",1,2,9,0,0
e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,"(4,0,0,0)",1,3,6,0,0
e3323c59474d87553b5fd77a3a5022775e98653092606b0aa0fac8aceb9ea745,"(4,0,0,0)",2,3,7,0,0
5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,"(4,0,0,0)",0,1,3,0,0
5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,"(4,0,0,0)",0,2,8,0,0
5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,"(4,0,0,0)",0,3,5,0,0
5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,"(4,0,0,0)",1,2,7,0,0
5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,"(4,0,0,0)",1,3,4,0,0
5677bee96b9b846842d3b53f6c99076e42e3916439af1ee4fa17e1fc15c95677,"(4,0,0,0)",2,3,7,0,0
d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,"(4,0,0,0)",0,1,3,0,0
d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,"(4,0,0,0)",0,2,8,0,0
d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,"(4,0,0,0)",0,3,5,0,0
d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,"(4,0,0,0)",1,2,7,0,0
d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,"(4,0,0,0)",1,3,4,0,0
d7802b9a9bf00594c5f82d880633561bd7a9904d48beca10ee210cb5a778eb6f,"(4,0,0,0)",2,3,7,0,0
80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,"(4,0,0,0)",0,1,3,0,0
80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,"(4,0,0,0)",0,2,5,0,0
80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,"(4,0,0,0)",0,3,6,0,0
80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,"(4,0,0,0)",1,2,7,0,0
80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,"(4,0,0,0)",1,3,7,0,0
80c9c4dec29035fcbbd2ebf9093ea94065895bca26191300cf29ab61e5b41103,"(4,0,0,0)",2,3,10,0,0
acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,"(4,0,0,0)",0,1,3,0,0
acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,"(4,0,0,0)",0,2,8,0,0
acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,"(4,0,0,0)",0,3,8,0,0
acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,"(4,0,0,0)",1,2,8,0,0
acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,"(4,0,0,0)",1,3,8,0,0
acf8b0601870632e43d0ad6c3a5f199f772a1e86946b0351da4ba8eaf0599f09,"(4,0,0,0)",2,3,7,0,0
f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,"(4,0,0,0)",0,1,3,0,0
