group,graph_hash,edge_count,degree_sequence,d_min,d_mean,d_max,union_vertices,all_vertex_disjoint
target_clean,857ec1b84da31641bef8fe6873b8ab86fd7454405fc02a1613309ce4083bfe2c,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,7,16,True
target_clean,a747597d27da55110a65b8e9bd1ef50d0e1d2050354bb1662608e7d9c3211ae5,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.333333333333333,8,16,True
target_clean,fda89304a96b8c80ccaaa4ba032d26edcad55e07f7aa5c9718a6ad60db40f239,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.333333333333333,8,16,True
target_clean,9b22eb1e5def3ad08c445b4e79feef543ccbf654a6b9f53fe30215f3d7e7d5c3,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,6.333333333333333,10,16,True
target_clean,08d0f71f73dd2e293f99537663c0bf79c67df4f18f64d3192eafb5cb1a4db4a3,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",6,7.5,8,16,True
target_clean,22a28fc7b6d2770fb59161d62f7f36e096281fc24d00d2b74c0db8f41b0c0b29,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",6,7.5,8,16,True
target_clean,5ea17d89f7d3b90b6d0184d16213a8134df9d659299906146157e46d6d970c5d,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,6.833333333333333,10,16,True
target_clean,63d0a9acdb8b0c31d423babb4d51603208685ca49de93d78b8f5a34adcba43ff,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,6.0,9,16,True
target_clean,4cb1a40fc726ddf2890e013c692c3dce103780884153a524917519f59cdc53da,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",2,5.166666666666667,7,16,True
target_clean,ed3dd2bdd0ff988ffcd837c506e430f819cba01d5aa9d56ddca257dab7597057,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",6,7.5,8,16,True
target_clean,e16e20afaa07f418b69282a92742335191f286644697f4dede1619fb7ff30da0,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,6.666666666666667,11,16,True
target_clean,8894f1b8eb7932e8e8480b9c0237b8a5c91ed1ac48a5a987427894f37814c55a,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",2,6.166666666666667,8,16,True
target_clean,df1311acf14e8d2464eb79028ccb63da6f66dbabe44c61745c2ffdb474d6ebca,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,7.0,11,16,True
target_clean,2fb4476db2ebab23769d0083162e87be4013cbf9417e5fff2f852de33632b8a2,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,4.666666666666667,7,16,True
target_clean,86d1d51b3e7707d569cd434cfb40572b645bd0b28abe16e30ef369f78c1ff308,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.833333333333333,12,16,True
target_clean,095d0d44b2e639d846c6d4cb126c41c46c08fd19813c0ebdf51f041611e12854,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,6.666666666666667,10,16,True
target_clean,18c6983581b663fcf04c60814b0503b7dff4fd14a0c5037c5fa74eef7e86fdd4,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",2,6.833333333333333,8,16,True
target_clean,4fb544188d5bc91b453da6a2aacbbee17db3ceaafa688d8eb839afdbdac80245,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.833333333333333,12,16,True
